27-11-2014 16:8	 Starting thread
27-11-2014 16:8	 PLC: plc1 - PLC back online
27-11-2014 16:8	 PLC: plc1 - PLC went into RUN state
27-11-2014 16:54	 PLC: plc1 - PLC went into STOP state
27-11-2014 16:54	 PLC: plc1 - PLC went into RUN state
27-11-2014 17:21	 Starting thread
27-11-2014 17:21	 Shutting down...
27-11-2014 17:21	 Saving data...
27-11-2014 17:21	 Saving data...
27-11-2014 17:21	 END!!
27-11-2014 17:22	 Starting thread
27-11-2014 17:25	 Shutting down...
27-11-2014 17:25	 Saving data...
27-11-2014 17:25	 Saving data...
27-11-2014 17:25	 END!!
27-11-2014 17:26	 Starting thread
27-11-2014 17:26	 PLC: plc1 - Connection lost
27-11-2014 17:31	 Starting thread
27-11-2014 17:31	 PLC: plc1 - Connection lost
27-11-2014 17:50	 Starting thread
27-11-2014 17:50	 PLC: plc1 - Connection lost
27-11-2014 17:51	 Shutting down...
27-11-2014 17:51	 Saving data...
27-11-2014 17:51	 Saving data...
27-11-2014 17:51	 Starting thread
27-11-2014 17:51	 Shutting down...
27-11-2014 17:51	 Saving data...
27-11-2014 17:52	 Saving data...
27-11-2014 17:54	 Starting thread
27-11-2014 17:54	 Shutting down...
27-11-2014 17:54	 Saving data...
27-11-2014 17:54	 Saving data...
05-12-2014 15:11	 Starting thread
05-12-2014 15:11	 Shutting down...
05-12-2014 15:11	 Saving data...
05-12-2014 15:11	 Saving data...
05-12-2014 15:11	 END!!
05-12-2014 17:18	 Starting thread
05-12-2014 17:19	 Shutting down...
05-12-2014 17:19	 Saving data...
05-12-2014 17:19	 Saving data...
05-12-2014 17:19	 END!!
10-12-2014 20:15	 Starting thread
10-12-2014 20:15	 PLC: plc1 - PLC back online
10-12-2014 20:15	 PLC: plc1 - PLC went into STOP state
10-12-2014 20:15	 Shutting down...
10-12-2014 20:15	 Saving data...
10-12-2014 20:15	 Saving data...
10-12-2014 20:15	 END!!
10-12-2014 20:17	 Starting thread
10-12-2014 20:19	 Shutting down...
10-12-2014 20:19	 Saving data...
10-12-2014 20:19	 Saving data...
10-12-2014 20:19	 END!!
10-12-2014 20:19	 Starting thread
10-12-2014 20:21	 Shutting down...
10-12-2014 20:21	 Saving data...
10-12-2014 20:21	 Saving data...
10-12-2014 20:21	 END!!
10-12-2014 20:22	 Starting thread
10-12-2014 20:25	 Shutting down...
10-12-2014 20:25	 Saving data...
10-12-2014 20:25	 Saving data...
10-12-2014 20:25	 END!!
11-12-2014 13:14	 Starting thread
11-12-2014 14:12	 Starting thread
11-12-2014 14:34	 Starting thread
11-12-2014 14:36	 Starting thread
12-12-2014 9:55	 Starting thread
12-12-2014 9:55	 Shutting down...
12-12-2014 9:55	 Saving data...
12-12-2014 9:55	 Saving data...
